,person_id,id,role,title,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
80,74499,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
81,24045,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
82,29250,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
83,29225,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
84,63141,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
85,28420,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
86,83026,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
87,83027,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
88,83028,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
89,29253,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
90,7250,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
91,83029,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
92,44085,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
93,28418,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
94,83030,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
95,642080,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
96,24203,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
97,83031,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
98,83032,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
99,83033,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
100,6848,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
101,83034,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
102,83035,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
103,83036,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
104,63147,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
105,83037,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
106,29725,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
107,19846,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
108,37760,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
109,83038,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
110,58911,tm14873,ACTOR,Dirty Harry,1971,R,102,"[''thriller'', ''crime'', ''action'']",['US'],tt0066999,bad_score,150000-199999,14.745,7.5
