index,person_id,id,name,role
194,83043,tm14873,Laurie Mock,ACTOR
195,83044,tm14873,Ann Noland,ACTOR
196,83045,tm14873,Kathleen O'Malley,ACTOR
197,11774,tm14873,Angela Paton,ACTOR
198,83046,tm14873,Victor Paul,ACTOR
199,27040,tm14873,Debralee Scott,ACTOR
200,56405,tm14873,Don Siegel,ACTOR
201,83047,tm14873,Kristoffer Tabori,ACTOR
202,357644,tm14873,Tony Dario,ACTOR
203,1254876,tm14873,Marc Hertsens,ACTOR
204,1254791,tm14873,Gordon Chapli,ACTOR
205,1254778,tm14873,Janet Wisely,ACTOR
206,1255103,tm14873,Pamela Tanimura,ACTOR
207,1254838,tm14873,Richard Samuelson,ACTOR
208,1255106,tm14873,Derek Jue,ACTOR
209,1255122,tm14873,Sean Maley,ACTOR
210,1255589,tm14873,Diane Darnell,ACTOR
211,56405,tm14873,Don Siegel,DIRECTOR
212,14081,tm185072,Audrey Hepburn,ACTOR
213,29434,tm185072,Rex Harrison,ACTOR
214,70452,tm185072,Stanley Holloway,ACTOR
215,20032,tm185072,Wilfrid Hyde-White,ACTOR
216,66907,tm185072,Gladys Cooper,ACTOR
217,92956,tm185072,Jeremy Brett,ACTOR
218,95111,tm185072,Theodore Bikel,ACTOR
219,96235,tm185072,Mona Washbourne,ACTOR
220,71879,tm185072,Isobel Elsom,ACTOR
221,17920,tm185072,John Holland,ACTOR
222,22464,tm185072,Colin Kenny,ACTOR
223,22474,tm185072,Bert Stevens,ACTOR
224,36157,tm185072,Frank Baker,ACTOR
225,32994,tm185072,Marjorie Bennett,ACTOR
226,102105,tm185072,Betty Blythe,ACTOR
227,7781,tm185072,Arthur Tovey,ACTOR
228,12880,tm185072,Marni Nixon,ACTOR
229,132399,tm185072,Al Bain,ACTOR
230,517599,tm185072,William Beckley,ACTOR
231,13326,tm185072,Lillian Kemble-Cooper,ACTOR
232,22454,tm185072,Henry Daniell,ACTOR
233,523436,tm185072,Brendan Dillon,ACTOR
234,13439,tm185072,George Cukor,DIRECTOR
235,14989,tm98978,Brooke Shields,ACTOR
236,44313,tm98978,Christopher Atkins,ACTOR
237,36764,tm98978,Leo McKern,ACTOR
238,30068,tm98978,William Daniels,ACTOR
239,80677,tm98978,Jeffrey Kleiser,ACTOR
240,66492,tm98978,Gus Mercurio,ACTOR
241,80678,tm98978,Elva Josephson,ACTOR
242,80679,tm98978,Glenn Kohan,ACTOR
243,80680,tm98978,Bradley Pryce,ACTOR
244,80681,tm98978,Chad Timmerman,ACTOR
245,80682,tm98978,Gert Jacoby,ACTOR
246,80683,tm98978,Alex Hamilton,ACTOR
247,80684,tm98978,Richard Evanson,ACTOR
248,28692,tm98978,Randal Kleiser,DIRECTOR
249,20837,tm119281,Warren Beatty,ACTOR
250,17170,tm119281,Faye Dunaway,ACTOR
251,16446,tm119281,Michael J. Pollard,ACTOR
252,15098,tm119281,Gene Hackman,ACTOR
253,22346,tm119281,Estelle Parsons,ACTOR
254,18249,tm119281,Denver Pyle,ACTOR
255,11347,tm119281,Dub Taylor,ACTOR
256,22347,tm119281,Evans Evans,ACTOR
257,22345,tm119281,Gene Wilder,ACTOR
258,22348,tm119281,Mabel Cavitt,ACTOR
259,22349,tm119281,Patrick Cranshaw,ACTOR
260,345491,tm119281,Owen Bush,ACTOR
261,22351,tm119281,Clyde Howdy,ACTOR
262,22352,tm119281,Russ Marker,ACTOR
263,22354,tm119281,Ann Palmer,ACTOR
264,511857,tm119281,Ken Mayer,ACTOR
265,22355,tm119281,Arthur Penn,DIRECTOR
266,26187,tm67378,Burt Lancaster,ACTOR
267,35196,tm67378,Lee Marvin,ACTOR
268,24126,tm67378,Robert Ryan,ACTOR
269,36499,tm67378,Woody Strode,ACTOR
270,16444,tm67378,Jack Palance,ACTOR
271,16488,tm67378,Claudia Cardinale,ACTOR
272,12463,tm67378,Ralph Bellamy,ACTOR
273,62767,tm67378,Joe De Santis,ACTOR
274,62768,tm67378,Rafael Bertrand,ACTOR
275,62769,tm67378,Jorge Martínez de Hoyos,ACTOR
276,62770,tm67378,Marie Gomez,ACTOR
277,57746,tm67378,José Chávez,ACTOR
278,127918,tm67378,Carlos Romero,ACTOR
279,23699,tm67378,Vaughn Taylor,ACTOR
280,534965,tm67378,Elizabeth Campbell,ACTOR
281,1461646,tm67378,Don Carlos,ACTOR
282,58919,tm67378,Leigh Chapman,ACTOR
283,80218,tm67378,Roberto Contreras,ACTOR
284,2209884,tm67378,Dirk Evans,ACTOR
285,539684,tm67378,Darwin Lamb,ACTOR
286,227842,tm67378,Eddie Little Sky,ACTOR
287,2209736,tm67378,John Lopez,ACTOR
288,101889,tm67378,John McKee,ACTOR
289,534354,tm67378,Philip L. Parslow,ACTOR
290,650832,tm67378,Ron Veto,ACTOR
291,23705,tm67378,Richard Brooks,DIRECTOR
292,16024,tm44204,Gregory Peck,ACTOR
293,16485,tm44204,David Niven,ACTOR
294,16350,tm44204,Anthony Quinn,ACTOR
295,29175,tm44204,Stanley Baker,ACTOR
296,16352,tm44204,Anthony Quayle,ACTOR
