,title,id,imdb_id,imdb_score,imdb_votes,person_id,name,role
706,A Lion in the House,tm25842,tt0492472,8.7,312.0,1688876,Justin Ashcraft,ACTOR
707,A Lion in the House,tm25842,tt0492472,8.7,312.0,1688609,Al Fields,ACTOR
337,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,59256,Julian Spencer,ACTOR
359,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,780576,Mark Phillips,ACTOR
335,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,62471,Ian Porter,ACTOR
336,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,87922,Gary Sefton,ACTOR
338,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,131358,Steve Griffin,ACTOR
363,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,8029,Vincent Walsh,ACTOR
360,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,810222,Lee Aaron Rosen,ACTOR
365,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,15464,John Sharian,ACTOR
333,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,82272,Daniel Cerqueira,ACTOR
323,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,11972,Adam Goldberg,ACTOR
322,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2607,Barry Pepper,ACTOR
321,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,1698,Matt Damon,ACTOR
350,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,604694,Loclann Aiken,ACTOR
351,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,455708,John Barnett,ACTOR
352,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,780579,Maclean Burke,ACTOR
353,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,301414,Aiden Condron,ACTOR
355,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,397625,Paul Hickey,ACTOR
356,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,82367,Shane Johnson,ACTOR
357,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,50469,Laird Macintosh,ACTOR
334,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,38359,Demetri Goritsas,ACTOR
332,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,17660,Dylan Bruno,ACTOR
324,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2671,Vin Diesel,ACTOR
347,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,845827,Adam Shaw,ACTOR
354,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,395288,Paschal Friel,ACTOR
341,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,131359,Markus Napier,ACTOR
342,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,911545,Neil Finnighan,ACTOR
343,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,66137,Peter Miles,ACTOR
344,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,131360,Paul Garcia,ACTOR
345,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,131361,Seamus McQuade,ACTOR
346,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,780575,Ronald Longridge,ACTOR
348,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,598721,Rolf Saxon,ACTOR
331,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2902,Max Martini,ACTOR
349,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,288,Corey Johnson,ACTOR
325,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,3085,Giovanni Ribisi,ACTOR
326,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,28143,Ted Danson,ACTOR
327,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,14926,Jeremy Davies,ACTOR
328,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2640,Paul Giamatti,ACTOR
329,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,4494,Dennis Farina,ACTOR
330,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,598535,Joerg Stadler,ACTOR
358,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,51772,Martin McDougall,ACTOR
379,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,447030,David Vegh,ACTOR
339,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,81184,William Marsh,ACTOR
380,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,7262,Ryan Hurst,ACTOR
381,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,687376,Nick Brooks,ACTOR
320,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,16118,Edward Burns,ACTOR
319,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,14089,Tom Sizemore,ACTOR
318,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,2718,Tom Hanks,ACTOR
371,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,600792,Sam Ellis,ACTOR
378,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,4712,Leland Orser,ACTOR
367,Saving Private Ryan,tm57554,tt0120815,8.6,1346020.0,491279,Crofton Hardester,ACTOR
